0.49971	28.4	46312	50472	38528	54072	64616	20624	62992	53288	67936	39528	41552	59480	76288	54888	79504	57384	60792	57880	44848	56664	58104	61280	55688	65728	77144	61744	62856	52632	51120	57072	57696	63048	68008	62536	56656	53976	79464	63744	53736	60272	55840	61656	52496	54096	50992	58456	62624	59456	78352	54856	55144	54824	34136	43136	65272	47624	47072	51192	44984	43288	80184	59048	49920	64888	46232	58424	65864	59856	50968	41960	60392	53760	81904	56288	58368	42864	44464	45320	41040	33584	30336	12696	41920	49936	75896	48616	27120	43944	15944	35904	34208	3768	1968	600	36872	37216
0.52243	28.5	49160	54400	40432	56232	67576	21784	65752	56112	70816	41616	44000	60712	80368	58992	82712	60464	63680	60120	47536	59376	60744	64768	58456	69832	82448	66648	66192	56488	54880	60504	61592	66240	72160	65152	59960	57200	84304	68808	57168	64416	58336	65392	55744	56896	54344	62472	65632	63536	82280	58160	59136	58048	36520	46160	68384	50608	49440	53952	47088	46464	84392	62504	52144	68480	49112	60624	69776	63240	53624	44480	64328	57320	86080	60408	61856	45584	46032	48024	43448	35224	31976	13288	43576	54008	81112	51144	28656	46456	16448	37920	36080	3760	2144	576	38512	39392
0.54517	28.5	50944	56600	41416	56864	70040	22216	67824	58880	73856	42928	45136	61128	84272	61184	83280	62032	65832	61840	48376	60800	62656	67160	60216	71760	85880	67984	68064	59080	56824	62584	63744	68408	76544	66440	63168	60224	86816	71504	58640	66944	59544	67584	57864	59408	56512	65128	68888	65232	85112	59656	61480	60288	37632	48128	70328	52008	51440	55928	48984	48792	87104	64528	52768	70024	51768	61248	72616	65696	56088	46160	66936	59912	88808	61656	64120	47584	46600	50520	44648	36016	33320	13648	45240	57520	82728	52792	29664	48296	16888	38656	36744	3976	2112	640	39272	40488
0.56788	28.5	53728	59400	43088	58352	72720	22816	70280	60992	76104	44944	46656	62984	86920	64032	85680	63976	68976	63328	49896	62176	65608	70080	61152	74744	89432	71376	69384	62416	60048	65568	66768	70568	80032	68832	65904	63064	91216	75312	61160	69760	61424	69632	59808	61320	58672	68504	72528	69512	89552	62392	64296	63304	39232	50896	73128	53520	53720	58024	50800	51904	90992	67168	55048	72176	54056	62624	76264	69344	58320	48336	70416	62624	92880	64736	66672	49800	48080	51272	46904	37320	34968	14160	47104	61392	85664	54664	30664	50560	17136	39672	37888	3992	2080	616	39968	42400
0.5906	28.5	56152	61808	45072	59624	75960	23376	72176	64008	79168	46680	48560	64752	90936	66808	87600	66280	70512	66056	51304	64136	68200	73128	63288	78640	93688	74656	72736	65640	62608	69024	70016	73080	83792	70640	69632	66760	96048	79272	63568	73256	63832	72016	61744	64008	61536	72464	75888	72856	93248	64808	67816	65688	40736	53768	74816	56744	56512	60128	52960	54856	94920	70408	56896	75072	56568	65032	80000	72784	60752	50568	73688	66280	97384	67360	69184	52824	49032	53872	49264	38872	36680	14752	48528	66160	90048	56688	31736	53632	17416	41104	39288	4096	2176	576	40872	44168
0.6133	28.5	59384	65352	47312	61752	79752	25040	75920	67856	81616	48560	50432	66440	96208	70424	90736	69360	73336	68712	53432	66360	70960	76648	65288	82704	98440	78928	76064	69144	67312	72992	73064	75128	88616	73576	73504	70648	1.0183e+005	83320	66736	76344	66408	75856	65344	67048	64304	76336	79968	76760	99448	68136	70728	69664	42048	56456	78152	60192	59368	62704	55688	58384	1.0066e+005	74056	59048	77896	59600	66960	84552	76536	63936	52976	77640	70296	1.0336e+005	70208	72120	54512	51296	55936	51032	40528	38440	15040	50968	69632	94208	59056	33512	57208	18216	42712	41096	4304	2344	568	42120	46800
0.63598	28.5	60256	67136	47408	62192	81552	25080	77808	69160	83160	50024	51688	67040	97992	71560	91976	69848	74776	69240	54216	66440	73024	78288	66792	84976	1.0202e+005	79992	76816	71152	68160	74120	74424	76648	91352	73912	76328	73136	1.043e+005	85952	67832	78296	67424	77040	65680	68448	65416	78872	82616	79664	1.0125e+005	69792	72816	71464	42544	57824	79344	61096	60968	63760	56952	60808	1.0317e+005	76512	60160	79256	60824	68056	87000	78528	65664	54560	81048	72880	1.0498e+005	72056	73456	55904	51224	57128	51896	41592	39432	15672	51640	73088	96904	60360	34216	59656	18264	43440	41512	4368	2264	616	43000	49064
0.65869	28.4	62976	69288	49000	64376	83640	25872	79296	72096	84856	51176	52896	67992	1.0162e+005	73696	93560	71368	75712	70656	55000	67784	75288	81152	68912	87896	1.0482e+005	82584	77912	74048	69896	76608	76248	78768	94472	75576	78720	75736	1.0758e+005	88816	69808	81056	69168	79336	68136	70304	67040	81960	85576	82368	1.0541e+005	71312	74536	73856	42768	59960	80744	63408	63176	66536	58784	63832	1.0623e+005	77624	61304	81608	62800	69128	90640	81808	67824	56296	83864	75776	1.0899e+005	74584	74688	57504	52272	58616	53952	42720	40856	16328	52984	76880	1.0039e+005	61888	35792	62624	18696	44224	43056	4512	2432	632	43880	50568
0.68141	28.4	64784	72056	50400	65432	86296	26560	81864	74392	86032	51544	54424	69920	1.0478e+005	76304	95760	72528	76776	72184	55152	69320	78424	84136	69200	91040	1.0831e+005	85816	79752	76632	72360	78416	78576	80104	97568	77560	81408	79128	1.1214e+005	91784	71392	84232	70936	81536	69112	72368	68224	84464	87672	85720	1.0994e+005	73632	76216	76872	43712	62152	83096	65896	65712	68264	60632	67056	1.1024e+005	80312	63352	83720	64896	70384	94784	85184	69264	58128	87104	78504	1.1337e+005	76632	76536	59472	53648	59912	55768	44376	42144	17016	54200	80448	1.0324e+005	63360	36872	66112	19120	45288	44288	4464	2528	656	44680	53328
0.70419	28.4	66304	73904	50416	65256	86840	26488	82720	75248	86024	51392	54384	70616	1.0642e+005	76928	96032	72480	76344	73272	55080	69392	79328	84072	69808	92440	1.0987e+005	86704	80408	77272	72744	79216	78168	80888	98712	77304	82912	81312	1.1406e+005	93160	71824	85704	70560	82704	69304	72848	68584	85904	89712	87760	1.103e+005	74296	76760	78160	42888	63160	83128	67240	66760	69992	61080	69144	1.1092e+005	80624	63904	84400	65584	70824	97440	86504	70088	58600	89424	80704	1.1387e+005	76664	76216	60448	53808	60440	57184	44496	42408	17320	54336	82664	1.0422e+005	64352	38120	67872	19344	45712	45392	4752	2560	648	45888	55112
